level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text,bottom,right,label
1,1,0,0,0,0,0,0,1700,2200,-1,,2200,1700,0.0
2,1,1,0,0,0,896,90,610,24,-1,,114,1506,0.0
3,1,1,1,0,0,896,90,610,24,-1,,114,1506,0.0
4,1,1,1,1,0,896,90,610,24,-1,,114,1506,0.0
5,1,1,1,1,1,896,90,116,22,96,VEHICLE,112,1012,0.0
5,1,1,1,1,2,1023,91,121,22,96,LOADING,113,1144,0.0
5,1,1,1,1,3,1156,92,113,21,92,REPORT,113,1269,0.0
5,1,1,1,1,4,1278,104,7,2,90,-,106,1285,0.0
5,1,1,1,1,5,1296,92,54,21,95,BILL,113,1350,0.0
5,1,1,1,1,6,1360,92,36,21,93,OF,113,1396,0.0
5,1,1,1,1,7,1407,92,99,22,92,LADING,114,1506,0.0
2,1,2,0,0,0,1066,144,545,6,-1,,150,1611,0.0
3,1,2,1,0,0,1066,144,545,6,-1,,150,1611,0.0
4,1,2,1,1,0,1066,144,545,6,-1,,150,1611,0.0
5,1,2,1,1,1,1066,144,545,6,95, ,150,1611,0.0
2,1,3,0,0,0,1013,241,341,5,-1,,246,1354,0.0
3,1,3,1,0,0,1013,241,341,5,-1,,246,1354,0.0
4,1,3,1,1,0,1013,241,341,5,-1,,246,1354,0.0
5,1,3,1,1,1,1013,241,341,5,95, ,246,1354,0.0
2,1,4,0,0,0,672,256,34,11,-1,,267,706,0.0
3,1,4,1,0,0,672,256,34,11,-1,,267,706,0.0
4,1,4,1,1,0,672,256,34,11,-1,,267,706,0.0
5,1,4,1,1,1,672,256,34,11,95, ,267,706,0.0
2,1,5,0,0,0,47,118,1565,240,-1,,358,1612,0.0
3,1,5,1,0,0,121,118,1491,54,-1,,172,1612,0.0
4,1,5,1,1,0,132,118,1480,30,-1,,148,1612,0.0
5,1,5,1,1,1,132,122,73,22,95,Page:,144,205,0.0
5,1,5,1,1,2,230,120,12,24,92,2,144,242,0.0
5,1,5,1,1,3,461,122,47,26,96,530,148,508,0.0
5,1,5,1,1,4,799,118,131,28,96,RAPPORT,146,930,0.0
5,1,5,1,1,5,941,120,34,20,92,DE,140,975,0.0
5,1,5,1,1,6,986,120,196,27,92,CHARGEMENT,147,1182,0.0
5,1,5,1,1,7,1192,132,6,2,89,-,134,1198,0.0
5,1,5,1,1,8,1208,120,137,22,89,VEHICULE,142,1345,0.0
5,1,5,1,1,9,1356,132,6,3,91,-,135,1362,0.0
5,1,5,1,1,10,1373,120,239,22,90,CONNAISSEMENT,142,1612,0.0
4,1,5,1,2,0,121,147,535,25,-1,,172,656,0.0
5,1,5,1,2,1,121,150,196,15,71,DOGUMENTNUMBER,165,317,0.0
